matriculaal,primeironomeal,ultimonomeal,datanascimentoal,senhaal,idturma
20230001,Ana,Santos,2005-04-12,ana123,1
20230002,Bruno,Lima,2004-09-03,bruno456,1
20230003,Carla,Oliveira,2005-01-20,carla789,2
20230004,Daniel,Silva,2003-12-15,daniel123,2
20230005,Eduarda,Martins,2004-07-28,eduarda321,1
20230006,Felipe,Almeida,2005-11-05,felipe234,3
20230007,Gabriela,Rocha,2004-03-09,gabi432,2
20230008,Henrique,Barbosa,2005-08-22,henriq890,1
20230009,Isabela,Freitas,2003-06-18,isa987,2
20230010,João,Pereira,2004-10-30,joao456,3
20230011,Karen,Souza,2005-02-25,karen999,1
20230012,Lucas,Costa,2004-04-12,lucas654,1
20230013,Mariana,Ferreira,2005-09-14,mari321,2
20230014,Nicolas,Gomes,2003-11-19,nico123,2
20230015,Olívia,Ribeiro,2004-01-08,olivia789,1
20230016,Pedro,Melo,2005-06-17,pedro111,3
20230017,Queila,Tavares,2004-12-23,queila321,1
20230018,Rafael,Teixeira,2003-07-05,rafael888,2
20230019,Sabrina,Araújo,2005-10-10,sabrina666,1
20230020,Thiago,Dias,2004-08-15,thiago222,3
20230021,Úrsula,Cardoso,2005-03-29,ursula000,2
20230022,Vinícius,Nogueira,2003-05-20,vinicius321,1
20230023,Wesley,Monteiro,2004-06-06,wesley777,3
20230024,Xuxa,Lacerda,2005-09-12,xuxa999,2
20230025,Yasmin,Cavalcante,2004-02-02,yasmin123,1
20230026,Zeca,Machado,2005-05-19,zeca888,2
20230027,Arthur,Rezende,2003-03-07,arthur000,1
20230028,Beatriz,Moraes,2004-11-11,bea111,3
20230029,Caio,Fagundes,2005-07-16,caio222,2
20230030,Débora,Neves,2004-12-01,debora333,1
